name,logo,website
Rockwell Automation,rockwell-automation.jpg,https://www.rockwellautomation.com/
"Howell's Motor Freight, Inc.",howells-motor-freight.png,https://www.howellsmotor.com/
Mr. Jim Wallace,JimWallace.png,https://www.salemva.gov/Government/City-Council/Jim-Wallace
Intuitive Foundation,IF-logo-300x156.jpg,https://www.intuitive-foundation.org/
BAE Systems,bae-systems-logo.png,https://www.baesystems.com/
Boxley,Boxley2Color_ClearBack.png,https://www.boxley.com/
B&B Fasteners Inc,bandb.jpg,https://www.loc8nearme.com/virginia/salem/b-and-b-fasteners-inc/3130423/
Carters Towing Service,carters towing.jpg,https://www.facebook.com/Carters-Towing-Service-162815333748348/
City of Salem Electric Dept.,city-of-salem-electric.png,https://salemva.gov/Departments/Electric
"Dominion Service, 4th St, Salem",dominion-service.jpg,
Novozymes,Novozymes.jpg,https://www.novozymes.com/
Fast Signs,fast-signs.png,https://www.fastsigns.com/salem-va/
Lowe's,Lowes_logo_pms_280.png,https://www.lowes.com/
Harbor Freight,harbor-freight.png,https://www.harborfreight.com/
Northwest ACE,northwest-hardware.jpg,https://northwesthardware.com/
Ace Hardware,ACE.png,https://www.acehardware.com/
Mac and Bob's,mac-and-bob-s.jpg,https://www.macandbobs.com/
Mamma Maria's,mamma-marias.png,http://mammamariasva.com/
Bojangles,bojangles.jpg,https://www.bojangles.com/
Chick-fil-A,chick-fil-a.png,https://www.chick-fil-a.com/
Sam's Club,sams-club.png,https://www.samsclub.com/
Food Lion,food-lion.jpg,https://foodlion.com/
Kroger,kroger.png,https://www.kroger.com/
Walmart,walmart.jpg,https://www.walmart.com/
BJ's Wholesale Club,bjs-wholesale-club.gif,https://www.bjs.com/
Carrabba's,carrabbas.png,https://www.carrabbas.com/
Smokey Bones,smokey-bones.webp,https://smokeybones.com/
Cheddar's,Cheddars_Logo.jpg,https://www.cheddars.com/
Olive Garden,olive-garden.jpg,https://www.olivegarden.com/
Jimmy John's,jimmy-johns.jpg,https://www.jimmyjohns.com/
Taco Bell,taco-bell.jpg,https://www.tacobell.com/
Kentucky Fried Chicken,kfc.jpg,https://www.kfc.com/
Papa John's.jpg,papa-johns.jpg,https://www.papajohns.com/
Red Robin,red-robin.png,https://www.redrobin.com/
Little Caesars,littlecaesarslogo.jpg,https://littlecaesars.com/
Krispy Kreme,krispy-kreme.jpg,https://www.krispykreme.com/
